DISP_DATE,ORIG_PROV_CODE,ORIG_PROV_NAME,ORIG_DIST_CODE,ORIG_DIST_NAME,DISP_PROV_CODE,DISP_PROV_NAME,DISP_DIST_CODE,DISP_DIST_NAME,DISP_IND,DISP_FAM,DISP_ADULT_MALE,DISP_ADULT_FEMALE,DISP_CHILDREN_U18
#date+occurred,#admin1+code+x_origin,#admin1+name+x_origin,#admin2+code+x_origin,#admin2+name+x_origin,#admin1+code+x_destination,#admin1+name+x_destination,#admin2+code+x_destination,#admin2+name+x_destination,#affected+displaced,#affected+dispalced+families,#affected+displaced+m+adults,#affected+displaced+f+adults,#affected+dispalced+children
15-12-20,28,Faryab,2806,Qaysar,27,Jawzjan,2701,Shiberghan,161,23,,,
15-12-20,20,Sar-e-Pul,2007,Sancharak,27,Jawzjan,2701,Shiberghan,147,21,,,
15-12-20,20,Sar-e-Pul,2002,Sayad,27,Jawzjan,2701,Shiberghan,168,24,,,
15-12-20,27,Jawzjan,2707,Aqcha,27,Jawzjan,2707,Aqcha,196,28,,,
29-12-20,28,Faryab,2809,Bilcheragh,27,Jawzjan,2701,Shiberghan,77,11,,,
29-12-20,28,Faryab,2804,Shirintagab,27,Jawzjan,2701,Shiberghan,140,20,,,
29-12-20,20,Sar-e-Pul,2002,Sayad,27,Jawzjan,2701,Shiberghan,126,18,,,
29-12-20,20,Sar-e-Pul,2007,Sancharak,27,Jawzjan,2701,Shiberghan,175,25,,,
30-12-20,28,Faryab,2804,Shirintagab,27,Jawzjan,2701,Shiberghan,140,20,,,
30-12-20,20,Sar-e-Pul,2002,Sayad,27,Jawzjan,2701,Shiberghan,84,12,,,
30-12-20,20,Sar-e-Pul,2007,Sancharak,27,Jawzjan,2701,Shiberghan,112,16,,,
30-12-20,27,Jawzjan,2707,Aqcha,27,Jawzjan,2701,Shiberghan,203,29,,,
30-12-20,27,Jawzjan,2705,Fayzabad,27,Jawzjan,2701,Shiberghan,168,24,,,
16-11-20,31,Farah,3102,Bakwa,31,Farah,3101,Farah,23,5,,,
17-11-20,31,Farah,3103,Balabuluk,31,Farah,3101,Farah,55,10,,,
18-11-20,31,Farah,3101,Farah,31,Farah,3101,Farah,256,43,,,
19-11-20,31,Farah,3108,Lash-e-Juwayn,31,Farah,3101,Farah,39,6,,,
20-11-20,31,Farah,3105,Pushtrod,31,Farah,3101,Farah,140,24,,,
02-12-20,31,Farah,3101,Farah,31,Farah,3101,Farah,179,31,,,
02-12-20,31,Farah,3106,Qala-e-Kah,31,Farah,3101,Farah,19,5,,,
04-12-20,31,Farah,3105,Pushtrod,31,Farah,3101,Farah,97,15,,,
05-12-20,31,Farah,3103,Balabuluk,31,Farah,3101,Farah,111,16,,,
10-12-20,31,Farah,3103,Balabuluk,31,Farah,3101,Farah,114,18,,,
11-12-20,31,Farah,3101,Farah,31,Farah,3101,Farah,182,31,,,
12-12-20,31,Farah,3105,Pushtrod,31,Farah,3101,Farah,87,15,,,
13-12-20,31,Farah,3107,Shibkoh,31,Farah,3101,Farah,15,2,,,
15-12-20,29,Badghis,2904,Qadis,30,Hirat,3002,Injil,105,15,,,
15-12-20,21,Ghor,2102,Charsadra,21,Ghor,2101,Chaghcharan,19,3,,,
15-12-20,21,Ghor,2104,Dawlatyar,21,Ghor,2101,Chaghcharan,215,35,,,
15-12-20,21,Ghor,2103,DoLayna,21,Ghor,2101,Chaghcharan,11,2,,,
15-12-20,21,Ghor,2101,Chaghcharan,21,Ghor,2101,Chaghcharan,204,35,,,
16-12-20,21,Ghor,2105,Shahrak,30,Hirat,3002,Injil,98,14,,,
16-12-20,21,Ghor,2105,Shahrak,21,Ghor,2101,Chaghcharan,17,3,,,
17-12-20,28,Faryab,2804,Shirintagab,30,Hirat,3002,Injil,84,12,,,
17-12-20,21,Ghor,2106,Taywarah,21,Ghor,2101,Chaghcharan,13,2,,,
18-12-20,31,Farah,3110,Purchaman,30,Hirat,3002,Injil,70,10,,,
19-12-20,17,Kunduz,1706,Khanabad,30,Hirat,3002,Injil,126,18,,,
20-12-20,32,Hilmand,3207,Nawzad,30,Hirat,3002,Injil,77,11,,,
25-12-20,32,Hilmand,3207,Nawzad,30,Hirat,3002,Injil,30,5,,,
25-12-20,21,Ghor,2104,Dawlatyar,21,Ghor,2101,Chaghcharan,85,14,,,
26-12-20,11,Ghazni,1116,Ajrestan,30,Hirat,3002,Injil,35,4,,,
26-12-20,21,Ghor,2101,Chaghcharan,21,Ghor,2101,Chaghcharan,141,24,,,
27-12-20,30,Hirat,3006,Pashtunzarghun,30,Hirat,3002,Injil,15,2,,,
27-12-20,21,Ghor,2107,Pasaband,21,Ghor,2101,Chaghcharan,18,3,,,
28-12-20,30,Hirat,3013,Kushk-e-Kohna,30,Hirat,3002,Injil,25,4,,,
28-12-20,21,Ghor,2110,Saghar,21,Ghor,2101,Chaghcharan,14,2,,,
29-12-20,21,Ghor,2106,Taywarah,21,Ghor,2101,Chaghcharan,11,2,,,
05-01-20,31,Farah,3111,Anardara,31,Farah,3101,Farah,18,4,,,
06-01-20,31,Farah,3103,Balabuluk,31,Farah,3101,Farah,79,11,,,
07-01-20,31,Farah,3101,Farah,31,Farah,3101,Farah,59,9,,,
08-01-20,31,Farah,3109,Gulestan,31,Farah,3101,Farah,25,4,,,
09-01-20,31,Farah,3108,Lash-e-Juwayn,31,Farah,3101,Farah,12,2,,,
10-01-20,31,Farah,3104,Khak-e-Safed,31,Farah,3101,Farah,85,13,,,
11-01-20,31,Farah,3110,Purchaman,31,Farah,3101,Farah,58,11,,,
12-01-20,21,Ghor,2106,Taywarah,21,Ghor,2101,Chaghcharan,24,4,,,
12-01-20,21,Ghor,2105,Shahrak,21,Ghor,2101,Chaghcharan,36,6,,,
12-01-20,21,Ghor,2103,DoLayna,21,Ghor,2101,Chaghcharan,24,4,,,
12-01-20,21,Ghor,2110,Saghar,21,Ghor,2101,Chaghcharan,18,3,,,
12-01-20,21,Ghor,2104,Dawlatyar,21,Ghor,2101,Chaghcharan,42,7,,,
12-01-20,21,Ghor,2102,Charsadra,21,Ghor,2101,Chaghcharan,24,4,,,
12-01-20,21,Ghor,2101,Chaghcharan,21,Ghor,2101,Chaghcharan,36,6,,,
12-01-20,30,Hirat,3016,Chisht-e-Sharif,21,Ghor,2101,Chaghcharan,6,1,,,
12-01-20,29,Badghis,2905,Jawand,21,Ghor,2101,Chaghcharan,30,5,,,
12-01-20,31,Farah,3105,Pushtrod,31,Farah,3101,Farah,144,21,,,
13-01-20,31,Farah,3106,Qala-e-Kah,31,Farah,3101,Farah,77,13,,,
14-01-20,31,Farah,3107,Shibkoh,31,Farah,3101,Farah,3,1,,,
15-01-20,21,Ghor,2101,Chaghcharan,21,Ghor,2101,Chaghcharan,48,8,,,
15-01-20,21,Ghor,2106,Taywarah,21,Ghor,2101,Chaghcharan,54,9,,,
15-01-20,21,Ghor,2102,Charsadra,21,Ghor,2101,Chaghcharan,24,4,,,
15-01-20,21,Ghor,2105,Shahrak,21,Ghor,2101,Chaghcharan,36,6,,,
15-01-20,21,Ghor,2107,Pasaband,21,Ghor,2101,Chaghcharan,48,8,,,
15-01-20,29,Badghis,2905,Jawand,21,Ghor,2101,Chaghcharan,60,10,,,
15-01-20,22,Daykundi,2207,Sang-e-Takht,21,Ghor,2101,Chaghcharan,24,4,,,
15-01-20,31,Farah,3111,Anardara,31,Farah,3101,Farah,22,5,,,
15-01-20,29,Badghis,2903,Abkamari,29,Badghis,2901,Qala-e-Naw,103,16,,,
16-01-20,31,Farah,3103,Balabuluk,31,Farah,3101,Farah,34,5,,,
16-01-20,29,Badghis,2906,Balamurghab,29,Badghis,2901,Qala-e-Naw,50,10,,,
17-01-20,31,Farah,3101,Farah,31,Farah,3101,Farah,46,7,,,
18-01-20,31,Farah,3109,Gulestan,31,Farah,3101,Farah,26,4,,,
